idnumber,condtion,VSAR,SBCSQ,VVLSR,LSQ,BAML,SAdep,SAnon,presJOL,perpJOL,postsJOL,experiment,totalstudy
601,1,-2,-4,-3,2,2,100,50,80,82.5,70,1,181.518
602,0,0,-6,-2,2,2,17,50,82,82.5,75,1,182.56002
605,1,1,9,0,4,3,33,50,70,65,60,1,259.428
606,0,-1,6,2,5,3,67,50,70,72.5,70,1,353.814
609,1,0,0,0,5,3,0,33,70,32.5,30,1,87.06198
610,0,-1,4,3,3,4,50,33,69,50,65,1,213.91602
612,0,1,0,1,2,3,33,50,42,70,67,1,205.79502
613,1,-2,4,1,3,4,0,0,49,37.5,55,1,116.49102
616,1,-1,5,1,5,2,100,83,75,55,65,1,338.826
618,1,-1,-3,-2,5,2,100,17,95,99,97,1,375.738
619,0,1,2,1,3,3,67,33,80,79.5,70,1,324.54798
622,0,-1,7,2,4,4,17,33,40,40,50,1,172.57602
625,1,-1,4,0,5,2,17,33,60,60,70,1,189.42798
627,1,-1,-3,-1,1,3,50,83,65,60,50,1,332.439
628,0,1,2,1,5,3,50,33,65,42.5,60,1,288.53898
630,0,0,6,2,4,4,50,0,60,50,50,1,229.701
633,1,-2,2,1,4,3,83,83,85,89.5,85,1,134.28702
634,1,-1,1,1,4,3,50,50,65,72.5,60,1,278.589
635,0,1,9,2,5,4,50,33,75,74.5,73,1,122.06898
638,0,0,9,2,5,4,33,0,60,35,30,1,253.266
641,1,-1,14,3,5,4,33,50,60,55,68,1,265.76598
642,0,1,0,-1,3,2,100,67,85,85,90,1,261.22002
643,1,-2,-4,-1,0,2,0,0,50,25,40,1,118.92702
644,0,-1,5,1,5,3,50,33,90,52.5,60,1,188.07198
647,1,-1,2,0,5,3,83,67,80,90,90,1,269.89998
648,0,-1,4,2,3,4,33,17,46,47,50,1,276.23802
649,1,1,1,0,5,3,100,50,80,77,70,1,413.77302
650,0,1,0,-1,3,2,17,17,65,65.5,68,1,204.14802
653,1,0,7,1,5,3,67,50,80,72.5,75,1,598.14198
654,0,1,-6,-3,3,2,50,50,78,34.5,68,1,235.968
657,0,1,0,0,2,3,33,17,60,60,50,1,228.171
658,1,2,8,3,5,3,83,33,100,100,100,1,115.27098
659,0,0,6,1,4,3,100,67,95,90,93,1,275.41398
662,1,-1,2,1,5,3,0,17,23,67.5,68,1,297.849
663,0,0,3,2,4,2,67,50,70,70,75,1,254.94798
672,1,-1,11,3,5,4,50,17,40,62.5,60,1,138.80298
673,0,0,3,0,4,3,50,17,40,40,50,1,159.33
676,1,1,5,1,5,3,67,33,75,77.5,80,1,245.34498
677,0,0,2,-1,4,3,100,67,50,47.5,70,1,499.524
680,0,0,8,2,5,4,50,67,70,65,60,1,307.73202
683,1,1,1,0,4,3,83,50,78,87.5,85,1,408.82698
684,0,0,-3,3,3,1,0,17,80,75,75,1,205.83102
686,1,0,7,2,5,4,100,50,80,75,75,1,177.97398
687,1,0,10,3,5,4,50,67,80,87.5,85,1,214.083
688,1,-1,2,0,4,3,67,67,70,75,80,1,312.32802
689,0,0,3,1,4,4,33,17,70,70,70,1,236.69502
690,0,0,6,2,5,3,50,33,50,30,40,1,136.92402
693,1,-1,1,0,4,3,50,0,40,25,40,1,217.17
694,0,-1,0,-1,3,2,17,0,75,60,45,1,98.934
698,1,1,11,-1,5,5,0,17,56,60,45,1,130.09002
699,0,0,-4,-1,3,3,0,0,0,0,0,1,230.31798
700,1,-2,-3,-1,3,2,50,83,80,75,75,1,350.517
701,1,0,2,2,5,3,50,33,50,90,80,1,442.71702
704,0,1,0,1,4,3,50,83,90,90,90,1,254.60298
705,0,1,4,-2,5,3,0,0,57,30,25,1,84.41598
708,1,-1,-3,1,4,2,17,17,70,50,45,1,187.68
714,1,1,12,3,5,3,67,50,60,50,65,1,283.01802
715,0,-1,-1,0,5,3,17,33,50,50,50,1,132.54102
717,1,0,9,2,5,3,67,50,65,15,15,1,319.63998
718,0,0,11,1,3,2,0,50,50,40,35,1,185.93802
719,0,0,6,0,5,2,33,33,30,12.5,25,1,156.75
722,1,0,5,1,5,4,33,33,100,50,60,1,417.039
724,1,-1,-1,0,4,3,83,83,70,70,68,1,362.463
727,1,0,6,0,3,3,83,50,80,80,90,1,230.40402
728,0,0,1,0,5,2,50,83,0,32.5,50,1,308.745
730,1,1,4,2,4,3,83,50,75,75,75,1,285.393
731,0,-1,6,1,5,2,17,0,85,60,75,1,91.227
735,1,0,1,0,4,3,100,17,80,72.5,50,1,271.71402
736,0,0,10,2,5,4,17,0,50,47.5,50,1,200.43198
737,0,0,6,2,5,3,0,33,75,45,40,1,227.97402
740,1,-1,5,1,4,4,100,83,65,79,70,1,405.78
741,0,0,0,0,4,2,33,17,100,40,40,1,212.40798
744,1,0,7,2,5,4,83,50,80,80,80,1,240.60798
745,0,-1,3,1,2,2,33,67,70,60,80,1,246.46098
748,1,-1,6,3,5,4,33,33,55,55,60,1,260.15298
750,1,0,1,1,3,2,50,17,85,72.5,70,1,172.60398
751,0,0,6,1,4,3,33,0,75,69,70,1,116.93802
757,0,0,5,2,5,4,33,0,80,45,30,1,284.21502
758,1,0,14,0,5,2,50,33,100,100,100,1,96.58398
759,0,-1,4,2,4,4,17,0,75,73.5,65,1,100.587
401,0,0,3,2,5,4,16.66666667,16.66666667,75,75,75,2,309.3822
404,1,0,2,0,2,3,100,50,65,77.5,80,2,256.221
405,0,2,11,2,4,3,66.66666667,16.66666667,80,62.5,68,2,313.2012
408,2,-1,6,3,5,3,16.66666667,33.33333333,75,72.5,70,2,140.544
411,1,0,3,0,5,3,0,16.66666667,80,70,70,2,124.0458
412,2,0,6,0,3,3,50,0,70,65,60,2,190.3212
413,1,0,2,2,5,3,83.33333333,66.66666667,80,72.5,80,2,288.615
414,0,-1,-2,2,4,3,16.66666667,66.66666667,75,35,50,2,94.9722
415,2,0,4,0,4,3,50,16.66666667,60,30,40,2,356.2008
418,1,0,6,2,5,2,50,0,60,65,68,2,163.752
419,0,-1,10,2,5,3,0,0,80,57.5,60,2,159.3492
420,1,-1,6,2,5,3,33.33333333,16.66666667,80,65,50,2,181.092
423,0,0,11,3,5,3,33.33333333,16.66666667,80,35,20,2,63.384
424,2,0,11,0,5,3,33.33333333,33.33333333,90,92.5,90,2,159.0132
425,0,1,16,2,3,3,0,0,0,5,0,2,52.7868
426,2,1,0,0,4,3,33.33333333,33.33333333,70,80,75,2,166.1868
429,1,0,4,0,3,3,100,66.66666667,90,72.5,80,2,228.2058
430,2,0,3,1,5,3,0,16.66666667,60,40,45,2,118.515
431,1,2,2,0,1,4,50,16.66666667,85,90,85,2,290.3142
432,0,0,9,1,3,3,33.33333333,0,85,67.5,70,2,150.4932
433,2,1,11,2,5,5,0,0,70,80,75,2,103.8252
434,0,0,6,0,4,2,83.33333333,66.66666667,85,80,87,2,297.948
435,2,1,13,2,4,3,50,66.66666667,68,77.5,80,2,277.29
436,1,-1,10,2,4,3,66.66666667,50,80,77.5,80,2,247.8972
437,0,0,9,2,5,3,0,66.66666667,45,75,85,2,122.874
438,1,-1,3,1,3,3,50,33.33333333,75,27.5,25,2,215.568
441,2,1,3,0,4,3,33.33333333,66.66666667,70,80,70,2,288.81
442,1,0,0,2,4,2,50,33.33333333,75,50,70,2,143.931
443,0,0,0,-3,1,2,50,0,60,40,40,2,189.9858
444,2,1,2,1,3,3,83.33333333,33.33333333,80,77.5,75,2,307.8672
445,0,0,7,2,3,4,0,0,50,70,75,2,97.3002
446,2,-1,6,3,5,2,100,33.33333333,80,70,78,2,244.1148
448,0,0,6,2,5,2,0,16.66666667,60,60,60,2,209.778
449,1,-1,3,1,4,4,50,50,70,85,80,2,356.0262
451,1,-2,-3,0,2,3,66.66666667,66.66666667,75,75,70,2,243.2448
453,2,-1,3,2,5,4,33.33333333,16.66666667,80,75,75,2,300.264
454,0,0,2,0,5,3,16.66666667,50,50,47.5,40,2,112.2192
455,2,0,0,2,5,2,0,16.66666667,75,81.5,75,2,49.4352
456,1,1,10,1,5,4,50,16.66666667,80,77.5,80,2,240.9822
457,0,0,10,1,5,3,0,33.33333333,80,65,85,2,270.0168
458,1,-1,4,2,3,3,66.66666667,50,85,77.5,80,2,272.658
459,2,0,3,1,5,3,100,66.66666667,65,75,70,2,243.1848
461,0,1,4,1,4,3,16.66666667,33.33333333,70,65,70,2,137.6982
466,0,1,3,2,5,4,0,0,50,60,60,2,148.59
467,1,1,2,0,3,3,66.66666667,16.66666667,100,50,75,2,226.9212
468,2,1,11,2,4,3,0,16.66666667,60,50.5,80,2,511.041
470,0,0,5,0,5,3,50,50,76,47,50,2,226.8492
471,2,1,5,2,5,4,66.66666667,66.66666667,75,90,85,2,146.8098
474,1,2,9,2,4,2,66.66666667,50,100,80,90,2,169.0158
475,0,0,5,2,5,4,66.66666667,33.33333333,70,70,70,2,231.8352
476,1,2,6,2,5,3,83.33333333,66.66666667,70,62.5,60,2,236.0082
477,2,0,-1,0,3,3,0,16.66666667,90,50,20,2,45.9948
479,0,-2,8,1,4,3,0,20,70,55,40,2,100.446
480,2,1,-1,-1,4,3,0,33.33333333,70,72.5,70,2,270.8358
481,0,-2,1,0,3,3,50,50,50,42.5,25,2,435.996
482,2,0,8,2,5,3,0,16.66666667,65,30,20,2,231.4422
483,1,-1,4,0,5,3,50,50,75,67.5,50,2,157.0932
484,0,-2,6,2,5,3,16.66666667,33.33333333,50,30,30,2,237.3198
485,1,2,2,0,5,3,33.33333333,50,50,45,40,2,342.894
486,2,0,4,1,3,3,33.33333333,16.66666667,65,35,50,2,185.874
488,0,0,11,3,4,2,0,33.33333333,80,75,75,2,177.7602
489,2,0,2,0,4,3,16.66666667,33.33333333,75,81.75,70,2,247.1418
491,2,-1,6,3,3,3,33.33333333,50,80,55,65,2,514.3788
492,1,-1,1,-1,3,3,66.66666667,33.33333333,50,45,45,2,232.3398
493,0,0,6,2,4,3,16.66666667,50,70,45,50,2,155.31
494,1,1,3,1,4,4,50,16.66666667,60,32.5,40,2,116.274
495,2,1,6,1,5,3,33.33333333,50,85,77.5,80,2,136.9242
496,1,-2,3,2,5,2,100,83.33333333,97,94.5,93,2,347.7702
497,0,0,4,1,4,3,66.66666667,16.66666667,70,80,80,2,216.054
498,2,0,7,2,4,3,16.66666667,0,60,85,80,2,217.77
499,0,0,10,-2,3,3,16.66666667,0,1,25,40,2,152.0262
500,2,1,10,2,5,4,16.66666667,16.66666667,85,82.5,80,2,131.754
501,1,0,6,2,5,3,16.66666667,0,90,75,75,2,159.8532
502,0,0,10,3,4,3,0,0,70,30,10,2,122.0778
503,1,0,1,0,3,4,0,0,90,87.5,83,2,415.092
504,2,-1,4,0,4,3,0,16.66666667,60,50,50,2,174.861
505,1,1,2,1,4,3,100,100,90,87.5,90,2,317.403
506,0,-1,3,0,5,3,66.66666667,66.66666667,80,77.5,75,2,251.985
507,2,-1,6,2,4,3,66.66666667,50,75,62.5,60,2,272.385
508,0,1,5,2,5,3,0,0,60,42.5,50,2,155.3538
509,2,-1,4,2,4,4,0,0,75,35,40,2,186.228
510,1,-1,4,-1,2,3,0,0,52,40,50,2,12.3102
512,1,0,6,1,5,3,33.33333333,33.33333333,54,55,43,2,204.5742
514,1,0,0,0,4,2,16.66666667,33.33333333,85,85,75,2,186.342
515,0,0,4,2,2,3,50,16.66666667,65,45,50,2,251.4852
517,0,0,1,0,3,4,16.66666667,33.33333333,60,40,40,2,414.7542
520,2,0,4,2,4,3,16.66666667,33.33333333,100,100,100,2,201
521,1,-1,3,0,3,2,66.66666667,33.33333333,60,60,65,2,277.3332
522,0,-1,4,0,4,3,16.66666667,33.33333333,79,45,55,2,122.373
523,2,-1,4,2,5,3,50,16.66666667,80,75,80,2,289.143
524,0,1,2,0,5,3,0,0,60,80,80,2,201.528
525,2,-1,2,1,5,3,16.66666667,66.66666667,80,87.5,85,2,312.3288
526,1,1,5,1,4,3,33.33333333,50,75,72,85,2,211.209
527,0,1,7,2,4,2,50,33.33333333,50,70,70,2,264.3642
528,1,0,5,2,5,3,50,83.33333333,100,100,100,2,325.3302
529,2,0,6,1,5,3,0,16.66666667,85,90,70,2,248.3802
530,1,0,2,0,5,2,100,66.66666667,70,75,70,2,301.485
531,0,2,2,0,4,3,50,50,60,80,75,2,208.503
532,2,-1,6,1,2,3,83.33333333,50,80,70,80,2,503.964
533,0,-1,-3,-3,5,3,16.66666667,16.66666667,80,72.5,75,2,213.8958
534,2,0,14,2,5,2,66.66666667,33.33333333,85,80,85,2,234.5622
535,1,-1,9,2,2,3,66.66666667,33.33333333,80,80,80,2,230.34
536,0,-2,-7,-2,3,2,50,50,75,62.5,62,2,141.759
537,1,-2,12,3,4,3,33.33333333,0,50,55,50,2,187.2558
538,2,0,4,3,5,3,0,16.66666667,99,55,65,2,91.3668
542,0,0,10,1,3,3,33.33333333,33.33333333,80,42.5,45,2,162.3822
543,2,1,7,2,4,3,33.33333333,33.33333333,70,50,45,2,288.924
544,1,0,0,0,3,3,0,16.66666667,50,50,15,2,28.1232
546,1,-1,6,3,5,3,50,16.66666667,50,30,20,2,491.7792
547,2,0,3,2,5,3,83.33333333,50,70,72.5,75,2,177.621
548,1,1,11,1,5,3,66.66666667,16.66666667,75,57.5,50,2,148.9218
549,0,0,4,2,2,3,0,16.66666667,75,50,50,2,14.121
550,2,1,6,2,5,3,33.33333333,16.66666667,90,77.5,70,2,249.0408
552,2,1,11,2,5,3,33.33333333,16.66666667,70,60,65,2,514.7112
553,1,0,2,0,2,3,0,0,60,60,40,2,65.067
554,0,1,7,2,5,4,16.66666667,16.66666667,75,40,25,2,242.4648
555,1,0,0,0,4,2,0,0,70,50,50,2,222.438
556,2,1,8,-1,5,4,0,16.66666667,60,48.5,40,2,160.7502
557,1,0,4,1,3,3,66.66666667,16.66666667,80,70,80,2,335.0262
558,0,1,0,1,4,2,50,50,80,80,80,2,273.738
