idnumber,condtion,VSAR,SBCSQ,VVLSR,LSQ,BAML,SAdep,SAnon,presJOL,perpJOL,postsJOL,experiment
602,0,0,-6,-2,2,2,17,50,82,82.5,75,1
606,0,-1,6,2,5,3,67,50,70,72.5,70,1
610,0,-1,4,3,3,4,50,33,69,50,65,1
612,0,1,0,1,2,3,33,50,42,70,67,1
619,0,1,2,1,3,3,67,33,80,79.5,70,1
622,0,-1,7,2,4,4,17,33,40,40,50,1
628,0,1,2,1,5,3,50,33,65,42.5,60,1
630,0,0,6,2,4,4,50,0,60,50,50,1
635,0,1,9,2,5,4,50,33,75,74.5,73,1
638,0,0,9,2,5,4,33,0,60,35,30,1
642,0,1,0,-1,3,2,100,67,85,85,90,1
644,0,-1,5,1,5,3,50,33,90,52.5,60,1
648,0,-1,4,2,3,4,33,17,46,47,50,1
650,0,1,0,-1,3,2,17,17,65,65.5,68,1
654,0,1,-6,-3,3,2,50,50,78,34.5,68,1
657,0,1,0,0,2,3,33,17,60,60,50,1
659,0,0,6,1,4,3,100,67,95,90,93,1
663,0,0,3,2,4,2,67,50,70,70,75,1
673,0,0,3,0,4,3,50,17,40,40,50,1
677,0,0,2,-1,4,3,100,67,50,47.5,70,1
680,0,0,8,2,5,4,50,67,70,65,60,1
684,0,0,-3,3,3,1,0,17,80,75,75,1
689,0,0,3,1,4,4,33,17,70,70,70,1
690,0,0,6,2,5,3,50,33,50,30,40,1
694,0,-1,0,-1,3,2,17,0,75,60,45,1
699,0,0,-4,-1,3,3,0,0,0,0,0,1
704,0,1,0,1,4,3,50,83,90,90,90,1
705,0,1,4,-2,5,3,0,0,57,30,25,1
715,0,-1,-1,0,5,3,17,33,50,50,50,1
718,0,0,11,1,3,2,0,50,50,40,35,1
719,0,0,6,0,5,2,33,33,30,12.5,25,1
728,0,0,1,0,5,2,50,83,0,32.5,50,1
731,0,-1,6,1,5,2,17,0,85,60,75,1
736,0,0,10,2,5,4,17,0,50,47.5,50,1
737,0,0,6,2,5,3,0,33,75,45,40,1
741,0,0,0,0,4,2,33,17,100,40,40,1
745,0,-1,3,1,2,2,33,67,70,60,80,1
751,0,0,6,1,4,3,33,0,75,69,70,1
757,0,0,5,2,5,4,33,0,80,45,30,1
759,0,-1,4,2,4,4,17,0,75,73.5,65,1
601,1,-2,-4,-3,2,2,100,50,80,82.5,70,1
605,1,1,9,0,4,3,33,50,70,65,60,1
609,1,0,0,0,5,3,0,33,70,32.5,30,1
613,1,-2,4,1,3,4,0,0,49,37.5,55,1
616,1,-1,5,1,5,2,100,83,75,55,65,1
618,1,-1,-3,-2,5,2,100,17,95,99,97,1
625,1,-1,4,0,5,2,17,33,60,60,70,1
627,1,-1,-3,-1,1,3,50,83,65,60,50,1
633,1,-2,2,1,4,3,83,83,85,89.5,85,1
634,1,-1,1,1,4,3,50,50,65,72.5,60,1
641,1,-1,14,3,5,4,33,50,60,55,68,1
643,1,-2,-4,-1,0,2,0,0,50,25,40,1
647,1,-1,2,0,5,3,83,67,80,90,90,1
649,1,1,1,0,5,3,100,50,80,77,70,1
653,1,0,7,1,5,3,67,50,80,72.5,75,1
658,1,2,8,3,5,3,83,33,100,100,100,1
662,1,-1,2,1,5,3,0,17,23,67.5,68,1
672,1,-1,11,3,5,4,50,17,40,62.5,60,1
676,1,1,5,1,5,3,67,33,75,77.5,80,1
683,1,1,1,0,4,3,83,50,78,87.5,85,1
686,1,0,7,2,5,4,100,50,80,75,75,1
687,1,0,10,3,5,4,50,67,80,87.5,85,1
688,1,-1,2,0,4,3,67,67,70,75,80,1
693,1,-1,1,0,4,3,50,0,40,25,40,1
698,1,1,11,-1,5,5,0,17,56,60,45,1
700,1,-2,-3,-1,3,2,50,83,80,75,75,1
701,1,0,2,2,5,3,50,33,50,90,80,1
708,1,-1,-3,1,4,2,17,17,70,50,45,1
714,1,1,12,3,5,3,67,50,60,50,65,1
717,1,0,9,2,5,3,67,50,65,15,15,1
722,1,0,5,1,5,4,33,33,100,50,60,1
724,1,-1,-1,0,4,3,83,83,70,70,68,1
727,1,0,6,0,3,3,83,50,80,80,90,1
730,1,1,4,2,4,3,83,50,75,75,75,1
735,1,0,1,0,4,3,100,17,80,72.5,50,1
740,1,-1,5,1,4,4,100,83,65,79,70,1
744,1,0,7,2,5,4,83,50,80,80,80,1
748,1,-1,6,3,5,4,33,33,55,55,60,1
750,1,0,1,1,3,2,50,17,85,72.5,70,1
758,1,0,14,0,5,2,50,33,100,100,100,1
401,0,0,3,2,5,4,16.66666667,16.66666667,75,75,75,2
405,0,2,11,2,4,3,66.66666667,16.66666667,80,62.5,68,2
414,0,-1,-2,2,4,3,16.66666667,66.66666667,75,35,50,2
419,0,-1,10,2,5,3,0,0,80,57.5,60,2
423,0,0,11,3,5,3,33.33333333,16.66666667,80,35,20,2
425,0,1,16,2,3,3,0,0,0,5,0,2
432,0,0,9,1,3,3,33.33333333,0,85,67.5,70,2
434,0,0,6,0,4,2,83.33333333,66.66666667,85,80,87,2
437,0,0,9,2,5,3,0,66.66666667,45,75,85,2
443,0,0,0,-3,1,2,50,0,60,40,40,2
445,0,0,7,2,3,4,0,0,50,70,75,2
448,0,0,6,2,5,2,0,16.66666667,60,60,60,2
454,0,0,2,0,5,3,16.66666667,50,50,47.5,40,2
457,0,0,10,1,5,3,0,33.33333333,80,65,85,2
461,0,1,4,1,4,3,16.66666667,33.33333333,70,65,70,2
466,0,1,3,2,5,4,0,0,50,60,60,2
470,0,0,5,0,5,3,50,50,76,47,50,2
475,0,0,5,2,5,4,66.66666667,33.33333333,70,70,70,2
479,0,-2,8,1,4,3,0,20,70,55,40,2
481,0,-2,1,0,3,3,50,50,50,42.5,25,2
484,0,-2,6,2,5,3,16.66666667,33.33333333,50,30,30,2
488,0,0,11,3,4,2,0,33.33333333,80,75,75,2
493,0,0,6,2,4,3,16.66666667,50,70,45,50,2
497,0,0,4,1,4,3,66.66666667,16.66666667,70,80,80,2
499,0,0,10,-2,3,3,16.66666667,0,1,25,40,2
502,0,0,10,3,4,3,0,0,70,30,10,2
506,0,-1,3,0,5,3,66.66666667,66.66666667,80,77.5,75,2
508,0,1,5,2,5,3,0,0,60,42.5,50,2
515,0,0,4,2,2,3,50,16.66666667,65,45,50,2
517,0,0,1,0,3,4,16.66666667,33.33333333,60,40,40,2
522,0,-1,4,0,4,3,16.66666667,33.33333333,79,45,55,2
524,0,1,2,0,5,3,0,0,60,80,80,2
527,0,1,7,2,4,2,50,33.33333333,50,70,70,2
531,0,2,2,0,4,3,50,50,60,80,75,2
533,0,-1,-3,-3,5,3,16.66666667,16.66666667,80,72.5,75,2
536,0,-2,-7,-2,3,2,50,50,75,62.5,62,2
542,0,0,10,1,3,3,33.33333333,33.33333333,80,42.5,45,2
549,0,0,4,2,2,3,0,16.66666667,75,50,50,2
554,0,1,7,2,5,4,16.66666667,16.66666667,75,40,25,2
558,0,1,0,1,4,2,50,50,80,80,80,2
404,1,0,2,0,2,3,100,50,65,77.5,80,2
411,1,0,3,0,5,3,0,16.66666667,80,70,70,2
413,1,0,2,2,5,3,83.33333333,66.66666667,80,72.5,80,2
418,1,0,6,2,5,2,50,0,60,65,68,2
420,1,-1,6,2,5,3,33.33333333,16.66666667,80,65,50,2
429,1,0,4,0,3,3,100,66.66666667,90,72.5,80,2
431,1,2,2,0,1,4,50,16.66666667,85,90,85,2
436,1,-1,10,2,4,3,66.66666667,50,80,77.5,80,2
438,1,-1,3,1,3,3,50,33.33333333,75,27.5,25,2
442,1,0,0,2,4,2,50,33.33333333,75,50,70,2
449,1,-1,3,1,4,4,50,50,70,85,80,2
451,1,-2,-3,0,2,3,66.66666667,66.66666667,75,75,70,2
456,1,1,10,1,5,4,50,16.66666667,80,77.5,80,2
458,1,-1,4,2,3,3,66.66666667,50,85,77.5,80,2
467,1,1,2,0,3,3,66.66666667,16.66666667,100,50,75,2
474,1,2,9,2,4,2,66.66666667,50,100,80,90,2
476,1,2,6,2,5,3,83.33333333,66.66666667,70,62.5,60,2
483,1,-1,4,0,5,3,50,50,75,67.5,50,2
485,1,2,2,0,5,3,33.33333333,50,50,45,40,2
492,1,-1,1,-1,3,3,66.66666667,33.33333333,50,45,45,2
494,1,1,3,1,4,4,50,16.66666667,60,32.5,40,2
496,1,-2,3,2,5,2,100,83.33333333,97,94.5,93,2
501,1,0,6,2,5,3,16.66666667,0,90,75,75,2
503,1,0,1,0,3,4,0,0,90,87.5,83,2
505,1,1,2,1,4,3,100,100,90,87.5,90,2
510,1,-1,4,-1,2,3,0,0,52,40,50,2
512,1,0,6,1,5,3,33.33333333,33.33333333,54,55,43,2
514,1,0,0,0,4,2,16.66666667,33.33333333,85,85,75,2
521,1,-1,3,0,3,2,66.66666667,33.33333333,60,60,65,2
526,1,1,5,1,4,3,33.33333333,50,75,72,85,2
528,1,0,5,2,5,3,50,83.33333333,100,100,100,2
530,1,0,2,0,5,2,100,66.66666667,70,75,70,2
535,1,-1,9,2,2,3,66.66666667,33.33333333,80,80,80,2
537,1,-2,12,3,4,3,33.33333333,0,50,55,50,2
544,1,0,0,0,3,3,0,16.66666667,50,50,15,2
546,1,-1,6,3,5,3,50,16.66666667,50,30,20,2
548,1,1,11,1,5,3,66.66666667,16.66666667,75,57.5,50,2
553,1,0,2,0,2,3,0,0,60,60,40,2
555,1,0,0,0,4,2,0,0,70,50,50,2
557,1,0,4,1,3,3,66.66666667,16.66666667,80,70,80,2
408,2,-1,6,3,5,3,16.66666667,33.33333333,75,72.5,70,2
412,2,0,6,0,3,3,50,0,70,65,60,2
415,2,0,4,0,4,3,50,16.66666667,60,30,40,2
424,2,0,11,0,5,3,33.33333333,33.33333333,90,92.5,90,2
426,2,1,0,0,4,3,33.33333333,33.33333333,70,80,75,2
430,2,0,3,1,5,3,0,16.66666667,60,40,45,2
433,2,1,11,2,5,5,0,0,70,80,75,2
435,2,1,13,2,4,3,50,66.66666667,68,77.5,80,2
441,2,1,3,0,4,3,33.33333333,66.66666667,70,80,70,2
444,2,1,2,1,3,3,83.33333333,33.33333333,80,77.5,75,2
446,2,-1,6,3,5,2,100,33.33333333,80,70,78,2
453,2,-1,3,2,5,4,33.33333333,16.66666667,80,75,75,2
455,2,0,0,2,5,2,0,16.66666667,75,81.5,75,2
459,2,0,3,1,5,3,100,66.66666667,65,75,70,2
468,2,1,11,2,4,3,0,16.66666667,60,50.5,80,2
471,2,1,5,2,5,4,66.66666667,66.66666667,75,90,85,2
477,2,0,-1,0,3,3,0,16.66666667,90,50,20,2
480,2,1,-1,-1,4,3,0,33.33333333,70,72.5,70,2
482,2,0,8,2,5,3,0,16.66666667,65,30,20,2
486,2,0,4,1,3,3,33.33333333,16.66666667,65,35,50,2
489,2,0,2,0,4,3,16.66666667,33.33333333,75,81.75,70,2
491,2,-1,6,3,3,3,33.33333333,50,80,55,65,2
495,2,1,6,1,5,3,33.33333333,50,85,77.5,80,2
498,2,0,7,2,4,3,16.66666667,0,60,85,80,2
500,2,1,10,2,5,4,16.66666667,16.66666667,85,82.5,80,2
504,2,-1,4,0,4,3,0,16.66666667,60,50,50,2
507,2,-1,6,2,4,3,66.66666667,50,75,62.5,60,2
509,2,-1,4,2,4,4,0,0,75,35,40,2
520,2,0,4,2,4,3,16.66666667,33.33333333,100,100,100,2
523,2,-1,4,2,5,3,50,16.66666667,80,75,80,2
525,2,-1,2,1,5,3,16.66666667,66.66666667,80,87.5,85,2
529,2,0,6,1,5,3,0,16.66666667,85,90,70,2
532,2,-1,6,1,2,3,83.33333333,50,80,70,80,2
534,2,0,14,2,5,2,66.66666667,33.33333333,85,80,85,2
538,2,0,4,3,5,3,0,16.66666667,99,55,65,2
543,2,1,7,2,4,3,33.33333333,33.33333333,70,50,45,2
547,2,0,3,2,5,3,83.33333333,50,70,72.5,75,2
550,2,1,6,2,5,3,33.33333333,16.66666667,90,77.5,70,2
552,2,1,11,2,5,3,33.33333333,16.66666667,70,60,65,2
556,2,1,8,-1,5,4,0,16.66666667,60,48.5,40,2
